headword_iast	headword_slp1	entry_id	page	body
akṣa	akza	31	001-b	"{#akza#}¦ {%m.%} (v. {#Ikz#} videre) 1) oculus, in fine compositorum [Page002-a+ 36] pro {#akzi#} — v. gr. 681. — e. c. {#piNgAkza#} q. v. (gr. <lang n=""greek"">ὌΣΣΟ, ὌΚΚΟ</lang> per assimilationem ex <lang n=""greek"">ὌΞΟ</lang>, lat. {%oculus%} abjecto s, goth. {%augô%} — Th. {%augan%} — contra legem quâ plerumque tenues in aspiratas sunt conversae, quam ob rem {%auhô%} exspectaveris, cujus {%au%} ex vi euphonica litterae {%h%} explicari posset, ita ut genuinum {%a%} in {%u%} sit attenuatum <sup>(*)</sup> — sicut e. c. in lith. {%ugni-s%} = {#agni#} ignis — vocali {%u%} vero, propter sequens {%h, a%} euphonicum sit praefixum; russ. {%òko%}; v. {#akzi#}). 2) talus. N. 7.5. 3) rota (cf. lat. {%axis%} = {#akzi#} q. v.; gr. <lang n=""greek"">ἈΞΟΝ</lang> = {#akzan#} q. v.; germ. vet. {%ahsa%}, nostrum {%Achse%}; lith. {%aʃzis%} ejecto {#k#}, {%ʃz%} = {#z#}). 4) currus. 5) secundum Wils. {%a kind of seed used for rosaries%} (Eloeocarpus). 6) dica, lis. <F>(*) V. librum meum „{%Vocalismus%}” p. 227. n. 16.</F>"
akṣadarśaka	akzadarSaka	32	002-a	{#akzadarSaka#}¦ {%m.%} ({%TATP.%} e praec. sgnf. 6. et {#darSaka#} qui videt) judex. AM.
akṣan	akzan	33	002-a	{#akzan#}¦ Thema defectivum, quo suppletur {#akzi#} oculus (gr. 165. cf. goth. Th. {%AUGAN%}, unde nomin. {%augô%}).
akṣama	akzama	34	002-a	{#akzama#}¦ ({%KARM.%} ex {#a#} priv. et {#kzama#} potens, a r. {#kzam#} s. {#a#}) impotens. SA. 4.20.
akṣamātra	akzamAtra	35	002-a	{#akzamAtra#}¦ {%n.%} (ex {#akza#} oculus et {#mAtra#} {%n.%} mensura, in fine compositorum significans solus, v. quoque suffixum {#mAtra#}, gr. 652.) temporis punctum, momentum. {#akzamAtreRa#} momento, statim. A. 8.4.
akṣamālā	akzamAlA	36	002-a	{#akzamAlA#}¦ {%f.%} (ex {#akza#} sgnf. 5. et {#mAlA#} sertum floreum) «{%a rosarie%}» DEV. 2.23.
akṣaya	akzaya	37	002-a	{#akzaya#}¦ ({%BAH.%} ex {#a#} {%priv.%} et {#kzaya#} {%m.%} exitium) liber ab exitio, sempiternus. N. 2.18.
akṣayatva	akzayatva	38	002-a	{#akzayatva#}¦ {%n.%} (a praec. s. {#tva#}) Abstractum praecedentis, {%Unvergänglichkeit%}. HIT. 1.8.
akṣayya	akzayya	39	002-a	{#akzayya#}¦ ({%KARM.%} ex {#a#} priv. et {#kzayya#} fragilis, a r. {#kzi#} s. {#ya#}, gr. 629.) quod exstingui non potest, immortalis, perennis.
akṣara	akzara	40	002-a	{#akzara#}¦ {%n.%} ({%KARM.%} ex {#a#} priv. et {#kzara#} periens, a r. {#kzar#} s. {#a#}) 1) quod non perit, immortale, sempiternum ({#na kzaratI 'ty akzaram#}, sic schol. Srîdharasvâminus ad BH. 8.3.). 2) littera, syllaba. 3) {#ekam akzaram#} (unum immortale) [Page002-b+ 37] syllaba sanctissima {#om#}, quae tribus suis litteris tres deos altissimos exprimit, scilicet litterâ {#a#}, quae cum sequente {#u#} in {#o#} coalescit, deum Vischnum, {#u#} Sivum et {#m#} Brahmam. BH. 10.25.
