headword_iast	headword_slp1	entry_id	page	body
akuṇṭhadhiṣṇya	akuRWaDizRya	33	1-282-b	{#akuRWaDizRya#}¦ <lex>n.</lex> = {#vEkuRWaloka#} <ls>BHĀG. P. ed. Bomb. 3,5,45</ls>.
akuṇṭhita	akuRWita	34	1-282-b	{#akuRWita#}¦ <lex>Adj.</lex> = {#akuRWa#}.
akuṣṭhipṛṣat	akuzWipfzat	35	1-282-b	{#akuzWipfzat#}¦ <lex>Adj.</lex> {%weder aussätzig noch gesprenkelt%} <ls>ĀŚV. GṚHY. 4,8,4</ls>.
akūjana	akUjana	36	1-282-b	{#akUjana#}¦ <lex>n.</lex> {%das Schweigen%} <ls>MBH. 12,109,15</ls>.
akṛta	akfta	37	1-282-b	{#akfta#}¦ 1〉a〉 <ab>Nom. abstr.</ab> {#˚tva#} <lex>n.</lex> <ls>KĀTY. ŚR. 20,4,6</ls>.
akṛtakṛtya	akftakftya	38	1-282-b	{#akftakftya#}¦ <lex>Adj.</lex> {%der seine Pflicht nicht gethan hat%}. <ab>Nom. abstr.</ab> {#˚tva#} <lex>n.</lex> <ls>Ind. St. 15,348</ls>.
akṛtavyūha	akftavyUha	39	1-282-b	{#akftavyUha#}¦ <lex>Adj.</lex> {%eine Sache nicht weiter verfolgend, sich über Etwas nicht aussprechend%} <ls>PARIBH. 56</ls>.
akṛtaśmaśāna	akftaSmaSAna	40	1-282-b	{#a/kftaSmaSAna#}¦ <lex>Adj.</lex> {%der keine Leichenstätte angelegt hat%} <ls>ŚAT. BR. 13,8,1,1</ls>.
akṛpa	akfpa	41	1-282-b	{#akfpa#}¦ <lex>Adj.</lex> (<lex>f.</lex> {#A#}) {%mitleidlos, grausam%} <ls>DAŚAK. 80,5</ls>.
akṛṣṭa	akfzwa	42	1-282-b	"{#akfzwa#}¦ 1〉c〉 {%nicht gezogen,%} von einer <ab>best.</ab> Aussprache der Vocale <ls>SAṂHITOPAN. 29,3</ls>. <ls n=""SAṂHITOPAN. 29,"">6</ls>. <ls n=""SAṂHITOPAN. 29,"">7</ls>."
akṛṣṇa	akfzRa	43	1-282-b	{#akfzRa#}¦ <lex>Adj.</lex> {%nicht schwarz%} <ls>KĀTY. ŚR. 22,4,13</ls>.
akopana	akopana	44	1-282-b	{#akopana#}¦ <lex>Adj.</lex> (<lex>f.</lex> {#A#}) {%nicht zornig, — böse%}. Kuh <ls>HEMĀDRI 1,456,2</ls>.
akaudreya	akOdreya	45	1-282-b	{#akOdreya#}¦ <lex>m.</lex> {%kein%} <is>Kaudreya</is> <ls>KĀTY. ŚR. 10,2,21</ls>.
akauśala	akOSala	46	1-282-b	"{#akOSala#}¦ <ls>MUDRĀR. 70,19</ls>. <ls n=""MUDRĀR. 70,"">20</ls> (<ls n=""MUDRĀR."">117,11</ls>. <ls n=""MUDRĀR. 117,"">12</ls>)."
akkā	akkA	47	1-282-b	{#akkA#}¦ {%Hurenwirthin%} <ls>PAÑCAD.</ls>
akrama	akrama	48	1-282-b	<hom>2.</hom> {#akrama#}¦, {#˚m#} <lex>Adv.</lex> {%gleichzeitig%} <ls>NAIṢ. 8,4</ls>.
akramaśas	akramaSas	49	1-282-b	{#akramaSas#}¦ <lex>Adv.</lex> <ab>dass.</ab> <ls>KAP. 2,32</ls>.
akrimi	akrimi	50	1-282-b	{#a/krimi#}¦ <lex>m.</lex> {%kein Wurm%} <ls>ŚAT. BR. 5,4,1,2</ls>.
akrīta	akrIta	51	1-282-b	{#a/krIta#}¦ <lex>Adj.</lex> {%nicht gekauft%} <ls>ŚAT. BR. 3,2,4,7</ls>. <ls>TĀṆḌYA-BR. 9,5,1</ls>.
akruddha	akrudDa	52	1-282-b	{#akrudDa#}¦ <lex>Adj.</lex> {%nicht erzürnt%} <ls>TAITT. ĀR. 1,4,2</ls>.
akrudhyant	akruDyant	53	1-282-b	{#a/kruDyant#}¦ <lex>Adj.</lex> {%nicht zürnend%} <ls>ŚAT. BR. 14,2,2,30</ls>.
akrūra	akrUra	54	1-282-b	{#a/krUra#}¦ 1〉 <ls>ŚAT. BR. 5,4,3,12</ls>.
akrūraparivāra	akrUraparivAra	55	1-282-b	{#akrUraparivAra#}¦ <lex>Adj.</lex> {%eine milde Umgebung habend%}. <ab>Nom. abstr.</ab> {#˚tA#} <lex>f.</lex> <ls>KĀM. NĪTIS. 8,11</ls>.
akrodha	akroDa	56	1-282-b	<hom>1.</hom> {#a/kroDa#}¦ <ls>ŚAT. BR. 3,2,2,24</ls>.
akrodha	akroDa	57	1-282-b	<hom>2.</hom> {#akroDa#}¦, <lex>f.</lex> {#A#} <ls>HEMĀDRI 2,a,92,9</ls>.
akliṣṭa	aklizwa	58	1-282-b	{#aklizwa#}¦ 3〉 {%keine Pein verursachend%} <ls>KAP. 2,33</ls>.
akleśa	akleSa	59	1-282-b	{#akleSa#}¦ <lex>Adj.</lex> <ab>dass.</ab> <ls>HEMĀDRI 1,15,3</ls>.
