headword_iast	headword_slp1	entry_id	page	body
sa	sa	25480	460-1a	2. {#sa#}¦ (˚— {%in Adj. u. Adv., opp.%} {#a#} {%priv.)%} versehen, begleitet, begabt mit; samt, zugleich mit; gleich an.
saṃyat	saMyat	25481	460-1a	{#saMya/t#}¦ zusammenhängend. {%f.%} Verabredung Stelldichein. Vertrag; Kampf, Schlacht.
saṃyatendriya	saMyatendriya	25482	460-1a	{#saMyatendriya#}¦ gezügelte Sinne habend, sich selbst beherrschend. {%Abstr.%} {#˚tA#} {%f.%}
saṃyantar	saMyantar	25483	460-1a	{#saMyantar#}¦ {%m.%} Zusammenhalter, Lenker.
saṃyama	saMyama	25484	460-1a	"{#saMyama#}¦ {%m.%} das Zusammenhalten {%o.%} -binden, Zügelung, Bändigung, Selbstbeherrschung. <lbinfo n=""7""/>"
saṃyamadhana	saMyamaDana	25485	460-1a	{#saMyamaDana#}¦ reich an Selbstbeherrschung.
saṃyamana	saMyamana	25486	460-1a	{#saMyamana#},¦ {%f.%} {#I#} zügelnd, bändigend; {%n.%} = {#saMyama#}.
saṃyamin	saMyamin	25487	460-1a	{#saMyamin#}¦ aufgebunden {%(Haar)%}; sich zügelnd {%o.%} selbstebeherrschend.
saṃyājya	saMyAjya	25488	460-1a	{#saMyAjya#}¦ {%n.%} das Mitopfern; {%f.%} {#˚jyA^#} {%Du. Bez.%} {%zweier best. Verse (r.).%}
saṃyāna	saMyAna	25489	460-1a	{#saMyAna#}¦ {%n.%} das (Zusammen-) Gehen, Fahren, Reiten; Reise, Fuhrwerk.
saṃyāsa	saMyAsa	25490	460-1a	{#saMyAsa/#}¦ {%m.%} Anstrengung.
saṃyuga	saMyuga	25491	460-1a	{#saMyuga#}¦ {%n.%} Verbindung; Kampf, Schlacht.
saṃyuj	saMyuj	25492	460-1a	{#saMyuj#}¦ verwandt {%o.%} befreundet.
saṃyuta	saMyuta	25493	460-1a	{#saMyuta#}¦ {%(s.%} 1. {#yu)#} {%auch%} gehäuft, allerlei.
saṃyoga	saMyoga	25494	460-1a	"{#saMyoga#}¦ {%m.%} Verbindung, Zusammenhang; Contact {%(ph.)%}; Freundschaftverhältnis, Verschwägerung, Ehe; Consonantengruppe <lbinfo n=""6""/> {%(g.).%}"
saṃyogin	saMyogin	25495	460-1a	{#saMyogin#}¦ verbunden mit {%(Instr. o.%} —˚).
saṃyojana	saMyojana	25496	460-1a	{#saMyo/jana#}¦ {%n.%} das Verbinden.
saṃrakṣa	saMrakza	25497	460-1a	{#saMrakza#}¦ hütend. {%m.%} Hüter; {%f.%} {#A#} Schutz, Wache.
saṃrakṣaka	saMrakzaka	25498	460-1a	{#saMrakzaka#}¦ {%m.%}, {#˚kzikA#} {%f.%} Hüter, -in.
saṃrakṣaṇa	saMrakzaRa	25499	460-1a	{#saMrakzaRa#}¦ {%n.%} das Hüten, Bewahren.
saṃrakṣaṇīya	saMrakzaRIya	25500	460-1a	{#saMrakzaRIya#}¦ {%u.%} {#saMrakzya#} zu hüten {%o.%} wovor man sich zu hüten hat.
ṣṭhīvi	zWIvi	25501	460-2a	{#zWIvi#}¦ {%u.%} {#zWIvin (—˚#}) speiend.
saṃrambha	saMramBa	25502	460-2a	{#saMramBa#}¦ {%m.%} das Anpacken; Eifer, Wallung, Zorn, Heftigkeit, Streit.
saṃrambhin	saMramBin	25503	460-2a	{#saMramBin#}¦ eifrig in {#(—˚)#}, zornig.
saṃrāga	saMrAga	25504	460-2a	{#saMrAga#}¦ {%m.%} Röte, Leidenschaft.
saṃrādhana	saMrADana	25505	460-2a	{#sa/MrADana#},¦ {%f.%} {#I#} zufrieden stellend.
saṃrādhya	saMrADya	25506	460-2a	{#saMrADya#}¦ zu gewinnen {%o.%} zu erlangen.
saṃrodha	saMroDa	25507	460-2a	{#saMroDa#}¦ {%n.%} das Zurückhalten, Unterdrücken {%(auch%} {#˚na#} {%n.)%}; Einschließung, Belangerung, Beeinträchtigung.
saṃropaṇa	saMropaRa	25508	460-2a	{#saMropaRa#}¦ {%n.%} das Pflanzen.
saṃroha	saMroha	25509	460-2a	"{#saMroha/#}¦ {%m.%}, {#˚haRa#} {%n.%} das Zuwachsen, Verheilen. <lbinfo n=""7""/>"
saṃlakṣya	saMlakzya	25510	460-2a	{#saMlakzya#}¦ wahrnehmbar.
saṃlapana	saMlapana	25511	460-2a	{#saMlapana#}¦ {%n.%} das Schwatzen.
saṃlaya	saMlaya	25512	460-2a	{#saMlaya/#}¦ {%m.%}, {#samlayana#} {%n.%} das Niederhocken, Kauern.
saṃlāpa	saMlApa	25513	460-2a	{#saMlApa#}¦ {%m.%} Unyerrdung, Gespräch.
